Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2015,mercedes-benz,e-classe400,used,20955,4.8,61,rwd,20,29,gasoline,102893
2018,audi,a32.0tprestige,used,31492,4.9,34,awd,24,31,gasoline,64403
2017,jeep,grandcherokeelimited,used,27575,4.8,334,rwd,19,26,gasoline,16929
2018,subaru,outback2.5ilimited,used,29499,4.7,445,awd,25,32,gasoline,47445
2018,mazda,cx-5grandtouring,used,27499,4.8,270,fwd,25,31,gasoline,37852
2015,porsche,cayennes,used,34999,4.9,13,awd,17,24,gasoline,56557
2020,bmw,x5xdrive40i,used,62787,4.7,53,awd,20,26,gasoline,10422
2012,lexus,rx350base,used,18699,4.8,73,awd,18,24,gasoline,124282
2017,buick,lacrossepremium,used,28994,4.8,95,fwd,21,31,gasoline,33148
2017,cadillac,xt5luxury,used,33029,4.6,198,fwd,19,27,gasoline,39535
2018,bmw,x3xdrive30i,certified,37962,4.8,64,awd,22,29,gasoline,32702
2021,tesla,modelyperformance,used,74799,4.0,15,awd,115,106,electric,12708
2019,infiniti,qx50essential,certified,35799,4.7,87,fwd,24,31,gasoline,19527
2019,volvo,xc60t5momentum,used,41967,4.9,82,awd,20,27,gasoline,33921
2020,dodge,challengersxt,used,28619,4.9,72,rwd,19,30,gasoline,34283
2019,audi,q52.0tpremium,used,35739,4.7,42,awd,22,27,gasoline,28251
2021,mazda,mazda3fwdw/preferredpackage,used,27981,4.9,18,fwd,26,35,gasoline,11945
2021,kia,fortefe,used,16999,4.8,46,fwd,31,41,gasoline,14606
2019,audi,q52.0tpremium,used,35480,4.7,42,awd,22,27,gasoline,38337
2018,nissan,muranosl,certified,29401,4.8,173,fwd,21,28,gasoline,39336
2016,chevrolet,corvettestingrayz51,used,49999,4.8,128,rwd,17,29,gasoline,13053
2018,lincoln,mkzselect,used,22995,4.9,45,fwd,21,31,gasoline,43485
2019,volvo,xc60t5momentum,used,38348,4.9,82,awd,20,27,gasoline,31039
2019,honda,cr-vex-l,used,33997,4.8,540,awd,27,33,gasoline,19426
2019,bmw,330ixdrive,used,40000,4.9,30,awd,25,34,gasoline,39186
2021,tesla,modelylongrange,used,74900,4.0,15,awd,131,117,electric,10926
2019,jeep,grandcherokeelimited,used,34991,4.8,224,rwd,19,26,gasoline,33995
2019,mercedes-benz,amggle434maticcoupe,used,67399,5.0,10,awd,17,22,gasoline,36343
2021,ford,f-150lariat,used,66000,4.8,79,4wd,19,24,gasoline,16581
2019,volkswagen,arteon2.0tselpremiumr-line,used,32500,4.7,22,awd,20,27,gasoline,46542
2017,honda,accordlx,used,17352,4.8,572,fwd,27,36,gasoline,65076
2021,dodge,chargersxt,used,32299,4.9,21,rwd,19,30,gasoline,32033
2019,mercedes-benz,amgc43base4matic,certified,54335,4.9,5,awd,19,27,gasoline,36089
2019,honda,pilotex-l,used,34995,4.8,223,fwd,19,27,gasoline,38383
2019,acura,rdxbase,used,36605,4.3,217,awd,21,27,gasoline,21316
2019,acura,rdxbase,used,37331,4.3,217,awd,21,27,gasoline,18576
2021,audi,q545premium,used,52308,4.6,16,awd,23,28,gasoline,14222
2018,nissan,roguesl,used,22177,4.7,415,awd,25,32,gasoline,54163
2020,acura,mdx3.5ltechnology&a-specpkgs,used,46988,4.9,50,awd,19,25,gasoline,21460
2021,volkswagen,atlas3.6lselpremium,used,47044,4.8,42,awd,16,22,gasoline,34337
